"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Guinea,"38,572",N/A,468                                ,N/A,"37,757",N/A,347,N/A,"2,782",34,"660,107","47,607","13,865,691 "
Bahamas,"38,084",N/A,844                                ,N/A,"36,366",N/A,874,1,"95,087","2,107","257,839","643,767","400,516 "
Isle of Man,"38,008",N/A,116                                ,N/A,N/A,N/A,N/A,N/A,"443,335","1,353","150,753","1,758,422","85,732 "
Lesotho,"36,138",N/A,723                                ,N/A,"25,980",N/A,"9,435",N/A,"16,610",332,"431,221","198,199","2,175,699 "
Haiti,"34,667",N/A,860                                ,N/A,"33,734",N/A,73,N/A,"2,968",74,"132,422","11,337","11,680,283 "
Faeroe Islands,"34,658",N/A,28                                ,N/A,N/A,N/A,N/A,N/A,"703,959",569,"778,000","15,802,409","49,233 "
Mali,"33,164",N/A,743                                ,N/A,"32,332",N/A,89,N/A,"1,544",35,"804,909","37,483","21,473,764 "
Cayman Islands,"31,472",N/A,37                                ,N/A,"8,553",N/A,"22,882",1,"467,797",550,"222,773","3,311,280","67,277 "
Saint Lucia,"30,215",N/A,410                                ,N/A,"29,805",N/A,0,N/A,"163,225","2,215","210,983","1,139,752","185,113 "
Benin,"28,036",N/A,163                                ,N/A,"27,847",N/A,26,N/A,"2,193",13,"604,310","47,268","12,784,726 "
Somalia,"27,334",N/A,"1,361                                ",N/A,"13,182",N/A,"12,791",N/A,"1,623",81,"400,466","23,778","16,841,795 "
Micronesia,"26,547",N/A,65                                ,N/A,N/A,N/A,N/A,N/A,"225,953",553,"82,430","701,598","117,489 "
Macao,"26,478",N/A,123                                ,N/A,"3,487",N/A,"22,868",N/A,"39,668",184,"7,850","11,760","667,490 "
San Marino,"26,185",N/A,128                                ,N/A,"26,011",N/A,46,N/A,"768,226","3,755","196,855","5,775,414","34,085 "
Solomon Islands,"25,954",N/A,199                                ,N/A,N/A,N/A,N/A,N/A,"35,989",276,N/A,N/A,"721,159 "
Congo,"25,375",N/A,386                                ,N/A,"24,006",N/A,983,N/A,"4,377",67,"347,815","59,991","5,797,805 "
Timor-Leste,"23,460",N/A,138                                ,N/A,"23,102",N/A,220,N/A,"17,131",101,"278,529","203,391","1,369,429 "
Burkina Faso,"22,109",N/A,400                                ,N/A,"21,596",N/A,113,N/A,"1,000",18,"248,995","11,265","22,102,838 "
Liechtenstein,"21,573",N/A,94                                ,N/A,N/A,N/A,N/A,N/A,"561,987","2,449","112,457","2,929,559","38,387 "
Gibraltar,"20,550",N/A,113                                ,N/A,N/A,N/A,N/A,N/A,"609,720","3,353","534,283","15,852,213","33,704 "
Grenada,"19,693",N/A,238                                ,N/A,"19,358",N/A,97,4,"173,545","2,097","182,981","1,612,523","113,475 "
Bermuda,"18,860",N/A,165                                ,N/A,"18,685",N/A,10,N/A,"304,493","2,664","1,029,558","16,622,128","61,939 "
South Sudan,"18,819",N/A,147                                ,N/A,"18,115",N/A,557,1,"1,620",13,"410,280","35,313","11,618,511 "
Nicaragua,"18,491",N/A,225                                ,N/A,"4,225",N/A,"14,041",N/A,"2,728",33,N/A,N/A,"6,779,100 "
Tajikistan,"17,786",N/A,125                                ,N/A,"17,264",N/A,397,N/A,"1,786",13,N/A,N/A,"9,957,464 "
Equatorial Guinea,"17,229",N/A,183                                ,N/A,"16,907",N/A,139,5,"11,512",122,"365,697","244,342","1,496,662 "
Monaco,"17,181",N/A,67                                ,N/A,N/A,N/A,N/A,N/A,"431,868","1,684","78,646","1,976,875","39,783 "
Samoa,"17,006",N/A,31                                ,N/A,"1,605",N/A,"15,370",N/A,"84,089",153,"187,397","926,612","202,239 "
Tonga,"16,950",N/A,13                                ,N/A,"15,638",N/A,"1,299",N/A,"157,310",121,"535,009","4,965,327","107,749 "
Marshall Islands,"16,138",N/A,17                                ,N/A,"16,121",N/A,0,N/A,"268,711",283,N/A,N/A,"60,057 "
Dominica,"16,038",N/A,74                                ,N/A,"15,964",N/A,0,N/A,"221,691","1,023","229,344","3,170,187","72,344 "
Djibouti,"15,690",N/A,189                                ,N/A,"15,427",N/A,74,N/A,"15,441",186,"305,941","301,094","1,016,097 "
CAR,"15,440",N/A,113                                ,N/A,"15,200",N/A,127,2,"3,078",23,"81,294","16,205","5,016,678 "
Gambia,"12,626",N/A,372                                ,N/A,"12,189",N/A,65,N/A,"4,935",145,"155,686","60,851","2,558,482 "
